Time (s),PWM Input,Sensor Output
0.0104,0,0
0.0423,0,0
0.0740,0,0
0.1060,0,0
0.1381,0,0
0.1703,0,0
0.2022,0,0
0.2341,0,0
0.2757,0,0
0.3073,0,0
0.3388,0,0
0.3704,0,0
0.4021,0,0
0.4339,0,0
0.4662,0,0
0.4979,0,0
0.5408,200,0
0.5724,200,4
0.6043,200,34
0.6367,200,91
0.6684,200,157
0.7005,200,212
0.7321,200,255
0.7641,200,287
0.7973,200,319
0.8294,200,359
0.8613,200,410
0.9037,200,466
0.9350,200,518
0.9666,200,565
0.9984,200,606
1.0299,0,647
1.0619,0,686
1.0937,0,708
1.1252,0,708
1.1674,0,697
1.1994,0,685
1.2315,0,674
1.2632,0,670
1.2951,0,673
1.3266,0,677
1.3583,0,678
1.3901,0,676
1.4220,0,676
1.4637,0,676
1.4956,0,676
1.5272,0,676
1.5587,0,676
1.5903,0,676
1.6220,0,676
1.6531,0,676
1.6954,0,676
1.7276,0,676
1.7600,0,676
1.7918,0,676
1.8234,0,676
1.8552,0,676
1.8867,0,676
1.9189,0,675
1.9512,0,676
1.9834,0,676
